route,goal_file,authorized_primary_exits,canonical_packet,status_first_line,producer_present,verifier_present,seal_present,implementation_class,notes
C,GOAL_C_PFAFFIAN_FANO_POINT.md,C-UNDECIDED|C-POINT|...,goals_2026-08-01/C_PFAFFIAN_FANO_CODEX_ROOT,C-UNDECIDED,yes,yes,yes,partial,canonical merge via CANONICAL.md
COV,GOAL_COV_STRUCTURED_POSITIVE_SEARCH.md,COV-NEW-ANSATZ-STRUCTURAL|COV-STRUCTURED-DEGREES-EMPTY-SCOPED(repaired),goals_2026-08-01/COV_STRUCTURED_SEARCH,COV-NEW-ANSATZ-STRUCTURAL,yes,yes,yes,structural,m=1 open
D,GOAL_D_EQUIVARIANT_DEGREE_MOTIVE.md,D-INVARIANT-REPRODUCIBLE,goals_2026-08-01/D_EQUIVARIANT_MOTIVE,D-INVARIANT-REPRODUCIBLE,yes,yes,yes,completed_negative,
F,GOAL_F_CONIC_INTERSECTION_ALGEBRA.md,F-CONIC-CRITERION-EMPTY,goals_2026-08-01/F_CONIC_ALGEBRA,F-CONIC-CRITERION-EMPTY,yes,yes,yes,completed_scoped,no genuine-twist headline
G,GOAL_G_ALL_DEGREE_LIFTING.md,G-STRUCTURAL-UNDECIDED|...,goals_2026-08-01/G_ALL_DEGREE,G-STRUCTURAL-UNDECIDED,yes,yes,yes,structural,
H,GOAL_H_SUBGROUP_TWISTS.md,H-SWEEP-UNDECIDED|...,goals_2026-08-01/H_SUBGROUP_TWISTS_ROOT_019FBE10,H-SWEEP-UNDECIDED,yes,yes,yes,undecided_at_dispatch,H2/H3 later points
J,GOAL_J_FIXED_CENTRE_PRYM.md,J-INVARIANT-TOO-WEAK|...,goals_2026-08-01/J_FIXED_CENTRE_PRYM,J-INVARIANT-TOO-WEAK,yes,yes,yes,completed_negative,
KLS,GOAL_KLS_MINIMALITY_CONDUCTOR.md,KLS-NO-THEOREM|...,goals_2026-08-01/KLS_MINIMALITY,KLS-NO-THEOREM,yes,yes,yes,completed_negative,
M,GOAL_M_SARKISOV_BIRATIONAL_MODELS.md,M-NEW-MORI-FIBRE-STRUCTURAL|...,goals_2026-08-01/M_SARKISOV,M-NEW-MORI-FIBRE-STRUCTURAL,yes,yes,yes,structural,
P25,GOAL_P25_LANDING_SUPPORT.md,P25-UNDECIDED|P25V-PRESENTATION-ENLARGED|P25V-SUPPORT-UNDECIDED,certificates/degree25_p25v+P25_LANDING_SUPPORT,P25-UNDECIDED,yes,yes,partial_seals,partial_cas,bulk gap addressed in A0
Q,GOAL_Q_SCHUR_INDEX_ONE_DESCENT.md,Q-UNDECIDED|...,goals_2026-08-01/Q_SCHUR_DESCENT,Q-UNDECIDED,yes,yes,yes,undecided,
R,GOAL_R_RATIONAL_CURVES_ON_TWIST.md,R-HILBERT-COMPONENT-STRUCTURAL|...,goals_2026-08-01/R_RATIONAL_CURVES_CODEX,R-HILBERT-COMPONENT-STRUCTURAL,yes,yes,yes,structural,
S19,GOAL_S19_SCHUR_CURVE.md,S19-NO-CURVE-SCOPED|...,goals_2026-08-01/S19_SCHUR_CURVE,S19-NO-CURVE-SCOPED,yes,yes,yes,completed_scoped,
T,GOAL_T_TARGET_BRANCH_INDEX3.md,T-ROUTE-REFUTED|...,goals_2026-08-01/T_TARGET_BRANCH_INDEX3_ROOT_019FBE13,T-ROUTE-REFUTED,yes,yes,yes,completed_negative,
V,GOAL_V_VALUATION_TROPICAL_POINTLESSNESS.md,V-UNDECIDED|...,goals_2026-08-01/V_VALUATION_TROPICAL,V-UNDECIDED,yes,yes,yes,undecided,
